week,date,local_time,home_team,home_team_code,away_team,away_team_code,match,attendance
33,2019-04-02,19:45:00,Watford,WAT,Fulham,FUL,WATFUL,17301
33,2019-04-02,19:45:00,Wolverhampton Wanderers,WOL,Manchester United,MUN,WOLMUN,31302
32,2019-04-03,19:45:00,Manchester City,MCI,Cardiff City,CAR,MCICAR,53559
33,2019-04-05,20:00:00,Southampton,SOU,Liverpool,LIV,SOULIV,31797
33,2019-04-06,15:00:00,Bournemouth,BOU,Burnley,BUR,BOUBUR,10446
33,2019-04-06,15:00:00,Huddersfield Town,HUD,Leicester City,LEI,HUDLEI,24126
33,2019-04-06,15:00:00,Newcastle United,NEW,Crystal Palace,CRY,NEWCRY,51926
33,2019-04-07,14:05:00,Everton,EVE,Arsenal,ARS,EVEARS,39400
33,2019-04-08,20:00:00,Chelsea,CHE,West Ham United,WHU,CHEWHU,40537
33,2019-04-23,19:45:00,Tottenham Hotspur,TOT,Brighton and Hove Albion,BHA,TOTBHA,56251
