week,date,match,player,minute,extra_minute,scorer_team
25,2019-02-02,CARBOU,Reid,5,,CAR
25,2019-02-02,EVEWOL,Neves,7,,WOL
25,2019-02-02,CHEHUD,Higuaín,16,,CHE
25,2019-02-02,CRYFUL,Milivojević,25,,CRY
25,2019-02-02,EVEWOL,Gomes,27,,EVE
25,2019-02-02,EVEWOL,Jiménez,45,,WOL
25,2019-02-02,CHEHUD,Hazard,45,1,CHE
25,2019-02-02,CARBOU,Reid,46,,CAR
25,2019-02-02,BURSOU,Redmond,55,,SOU
25,2019-02-02,CHEHUD,Hazard,66,,CHE
25,2019-02-02,EVEWOL,Dendoncker,66,,WOL
25,2019-02-02,CHEHUD,Higuaín,69,,CHE
25,2019-02-02,TOTNEW,Son,83,,TOT
25,2019-02-02,CHEHUD,Luiz,86,,CHE
25,2019-02-02,CRYFUL,Schlupp,87,,CRY
25,2019-02-02,BURSOU,Barnes,90,4,BUR
25,2019-02-03,MCIARS,Agüero,1,,MCI
25,2019-02-03,LEIMUN,Rashford,9,,MUN
25,2019-02-03,MCIARS,Koscielny,11,,ARS
25,2019-02-03,MCIARS,Agüero,44,,MCI
25,2019-02-03,MCIARS,Agüero,61,,MCI
25,2019-02-04,WHULIV,Mané,22,,WHU
25,2019-02-04,WHULIV,Antonio,28,,LIV
